lennygin,Silver Linings Playbook,5,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.50,0.30
lennygin,Pride and Prejudice,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,00,0.00
lennygin,Tangled,5,0.00,0.00,0.00,0.10,0.00,0.00,0.60,0.20,0.10
lennygin,Hachi,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,00
lennygin,Frozen,3,0.00,0.00,0.00,0.00,0.00,0.00,0.80,0.00,0.20
lennygin,Mision Impossible,4,1,00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
lennygin,Harry potter,5,0.10,0.00,0.00,0.00,0.70,0.00,0.10,0.00,0.10
lennygin,The Lord of the Rings,5,0.30,0.00,0.00,0.00,0.70,0.00,0.00,0.00,0.00
fatimagin,Joker,2,0.40,0.50,0.00,0.00,0.00,0.00,0.00,0.00,0.10
fatimagin,While You Were Sleeping,5,0.20,0.20,0.20,0.20,0.00,0.20,0.00,0.00,0.00
fatimagin,Brooklyn,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50
lennygin,Brooklyn,5,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.50,0.50
fatimagin,Roma,3,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1,00
fatimagin,Avengers,4,0.30,0.00,0.00,0.30,0.40,0.00,0.00,0.00,0.00
fatimagin,Star wars,4,0.30,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.30
lennygin,Star wars,5,0.30,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.30
fatimagin,Outlander,5,0.50,0.00,0.00,0.00,0.20,0.00,0.00,0.30,0.00
Cesarin Angelidis,The Lord of the Rings,5,0.60,0.00,0.00,0.00,0.30,0.00,0.00,0.10,0.00
Cesarin Angelidis,Wonder,5,0.00,0.00,0.00,0.50,0.00,0.20,0.10,0.00,0.20
Cesarin Angelidis,Bourne Supremacy,2,0.70,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.00
Cesarin Angelidis,Moulin Rouge!,4,0.00,0.00,0.00,0.30,0.20,0.00,0.00,0.30,0.20
Cesarin Angelidis,Frozen,5,0.20,0.00,0.00,0.40,0.20,0.00,0.20,0.00,0.00
Aby,The Lord of the Rings,5,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00
Aby,La propuesta,5,0.00,0.00,0.00,0.30,0.00,0.00,0.00,0.70,0.00
Aby,Rango,1,0.00,0.00,0.00,0.00,0.00,0.00,1,00,0.00,0.00
Aby,Guerra de papás,3,0.00,0.00,0.00,1,00,0.00,0.00,0.00,0.00,0.00
Aby,La momia,4,0.60,0.00,0.00,0.00,0.10,0.00,0.00,0.30,0.00
Primi,Por mis pistolas,5,0.00,0.00,0.00,1,00,0.00,0.00,0.00,0.00,0.00
Primi,Santo en el hotel e la muerte,4,0.80,0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.00
Primi,Dracula,1,0.00,0.30,0.00,0.00,0.70,0.00,0.00,0.00,0.00
Primi,John Week,5,1,00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mony,El día después de mañana,5,0.00,0.00,0.70,0.00,0.30,0.00,0.00,0.00,0.00
Mony,Después de la tierra,3,0.50,0.00,0.00,0.00,0.50,0.00,0.00,0.00,0.00
Mony,Star wars,2,0.40,0.00,0.00,0.00,0.50,0.00,0.10,0.00,0.00
Mosh,Gyo: Tokyo Fish Attack,5,0.40,0.30,0.00,0.00,0.30,0.00,0.00,0.00,0.00
Mosh,Terminator,4,0.60,0.00,0.00,0.00,0.40,0.00,0.00,0.00,0.00
Mosh,Inception,5,0.00,0.00,0.00,0.00,1,00,0.00,0.00,0.00,0.00
